Time, CommittedHeap, InitialHeap, MaxHeap, UsedHeap, threadCount, peakThreadCount, DeamonThreadCount, CurrentThreadCount, CurrentThreadsBusy, MaxThreads, ConnectorAcceptCount, ConnectorMaxThreads, ConnectorMinSpareThreads
10:57:08, 993787904, 1073741824, 1483866112, 572910480, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:57:32, 995360768, 1073741824, 1483866112, 449372704, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:57:56, 995360768, 1073741824, 1483866112, 519559328, 49, 49, 47, 25, 3, 150, 100, 150, 25,
10:58:19, 995360768, 1073741824, 1483866112, 588480112, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:58:41, 994967552, 1073741824, 1483866112, 460222112, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:59:03, 994967552, 1073741824, 1483866112, 528230336, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:59:26, 994967552, 1073741824, 1483866112, 615493216, 49, 49, 47, 25, 3, 150, 100, 150, 25,
10:59:49, 996278272, 1073741824, 1483866112, 481413904, 49, 49, 47, 25, 3, 150, 100, 150, 25,
11:00:12, 996278272, 1073741824, 1483866112, 552699320, 49, 49, 47, 25, 3, 150, 100, 150, 25,
11:00:35, 995426304, 1073741824, 1483866112, 429991584, 49, 49, 47, 25, 4, 150, 100, 150, 25,
11:00:58, 995426304, 1073741824, 1483866112, 497204144, 49, 49, 47, 25, 4, 150, 100, 150, 25,
11:01:20, 995426304, 1073741824, 1483866112, 565783912, 49, 49, 47, 25, 3, 150, 100, 150, 25,
11:01:43, 995950592, 1073741824, 1483866112, 433589360, 49, 49, 47, 25, 4, 150, 100, 150, 25,
11:02:05, 995950592, 1073741824, 1483866112, 501661488, 49, 49, 47, 25, 3, 150, 100, 150, 25,
11:02:28, 995950592, 1073741824, 1483866112, 572939504, 49, 49, 47, 25, 3, 150, 100, 150, 25,
11:02:52, 995885056, 1073741824, 1483866112, 447287152, 49, 49, 47, 25, 4, 150, 100, 150, 25,
11:03:15, 995885056, 1073741824, 1483866112, 517409912, 49, 49, 47, 25, 3, 150, 100, 150, 25,
11:03:37, 995885056, 1073741824, 1483866112, 587221088, 49, 49, 47, 25, 4, 150, 100, 150, 25,
11:04:00, 996212736, 1073741824, 1483866112, 454890512, 49, 49, 47, 25, 4, 150, 100, 150, 25,
11:04:23, 996212736, 1073741824, 1483866112, 545567888, 49, 49, 47, 25, 4, 150, 100, 150, 25,
11:04:46, 996212736, 1073741824, 1483866112, 613898840, 49, 49, 47, 25, 4, 150, 100, 150, 25,
11:05:09, 995950592, 1073741824, 1483866112, 477484144, 49, 49, 47, 25, 4, 150, 100, 150, 25,
11:05:32, 995950592, 1073741824, 1483866112, 548458504, 49, 49, 47, 25, 3, 150, 100, 150, 25,
11:05:56, 996737024, 1073741824, 1483866112, 426606208, 49, 49, 47, 25, 4, 150, 100, 150, 25,
11:06:20, 996737024, 1073741824, 1483866112, 500272576, 49, 49, 47, 25, 4, 150, 100, 150, 25,
11:06:43, 996737024, 1073741824, 1483866112, 572116296, 49, 49, 47, 25, 3, 150, 100, 150, 25,
11:07:07, 996802560, 1073741824, 1483866112, 441282128, 49, 49, 47, 25, 4, 150, 100, 150, 25,
11:07:31, 996802560, 1073741824, 1483866112, 513118112, 49, 49, 47, 25, 4, 150, 100, 150, 25,
11:07:53, 996802560, 1073741824, 1483866112, 580671184, 49, 49, 47, 25, 3, 150, 100, 150, 25,
11:08:17, 996868096, 1073741824, 1483866112, 449774912, 49, 49, 47, 25, 3, 150, 100, 150, 25,
11:08:41, 996868096, 1073741824, 1483866112, 525379456, 49, 49, 47, 25, 3, 150, 100, 150, 25,
11:09:05, 996868096, 1073741824, 1483866112, 596562856, 49, 49, 47, 25, 4, 150, 100, 150, 25,
11:09:28, 996802560, 1073741824, 1483866112, 487185032, 49, 49, 47, 25, 4, 150, 100, 150, 25,
11:09:52, 996802560, 1073741824, 1483866112, 563111016, 48, 49, 46, 25, 2, 150, 100, 150, 25,
11:10:16, 997916672, 1073741824, 1483866112, 428415040, 49, 49, 47, 25, 4, 150, 100, 150, 25,
11:10:40, 997916672, 1073741824, 1483866112, 499176512, 49, 49, 47, 25, 3, 150, 100, 150, 25,
11:11:03, 997916672, 1073741824, 1483866112, 569545720, 49, 49, 47, 25, 4, 150, 100, 150, 25,
11:11:26, 996868096, 1073741824, 1483866112, 441488696, 49, 49, 47, 25, 4, 150, 100, 150, 25,
11:11:50, 996868096, 1073741824, 1483866112, 510706864, 49, 49, 47, 25, 4, 150, 100, 150, 25,
11:12:14, 996868096, 1073741824, 1483866112, 585163168, 49, 49, 47, 25, 3, 150, 100, 150, 25,
11:12:38, 997851136, 1073741824, 1483866112, 453649368, 49, 49, 47, 25, 4, 150, 100, 150, 25,
11:13:01, 997851136, 1073741824, 1483866112, 525698224, 49, 49, 47, 25, 3, 150, 100, 150, 25,
11:13:24, 997851136, 1073741824, 1483866112, 594810696, 49, 49, 47, 25, 3, 150, 100, 150, 25,
11:13:47, 997916672, 1073741824, 1483866112, 462064056, 49, 49, 47, 25, 4, 150, 100, 150, 25,
11:14:11, 997916672, 1073741824, 1483866112, 532601952, 49, 49, 47, 25, 2, 150, 100, 150, 25,
11:14:34, 997916672, 1073741824, 1483866112, 620971352, 49, 49, 47, 25, 3, 150, 100, 150, 25,
11:14:57, 998309888, 1073741824, 1483866112, 483317704, 49, 49, 47, 25, 4, 150, 100, 150, 25,
11:15:21, 998309888, 1073741824, 1483866112, 555017432, 49, 49, 47, 25, 4, 150, 100, 150, 25,
11:15:45, 998309888, 1073741824, 1483866112, 625837208, 49, 49, 47, 25, 4, 150, 100, 150, 25,
11:16:08, 998047744, 1073741824, 1483866112, 499251752, 49, 49, 47, 25, 4, 150, 100, 150, 25,
11:16:31, 998047744, 1073741824, 1483866112, 569139184, 49, 49, 47, 25, 3, 150, 100, 150, 25,
11:16:55, 997654528, 1073741824, 1483866112, 433102872, 49, 49, 47, 25, 4, 150, 100, 150, 25,
11:17:18, 997654528, 1073741824, 1483866112, 502067096, 49, 49, 47, 25, 4, 150, 100, 150, 25,
11:17:41, 997654528, 1073741824, 1483866112, 571471624, 49, 49, 47, 25, 3, 150, 100, 150, 25,
11:18:03, 997851136, 1073741824, 1483866112, 435597984, 49, 49, 47, 25, 4, 150, 100, 150, 25,
11:18:26, 997851136, 1073741824, 1483866112, 490648352, 49, 49, 47, 25, 3, 150, 100, 150, 25,
11:18:48, 997851136, 1073741824, 1483866112, 494666920, 49, 49, 47, 25, 1, 150, 100, 150, 25,
